id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau
1064,10.000000,15.000000,0.625287,0.043443,1.250575,0,0.624796,0.013752,0.290512
1067,10.000000,15.000000,0.562514,0.035158,1.125027,0,0.549735,0.136608,0.914147
1018,21.165791,13.910812,0.699991,0.000016,1.445970,15,0.709412,0.000091,0.018957
1027,19.000196,13.868244,0.686757,0.000020,1.454491,13,0.700827,0.000077,0.017918
1035,18.422333,13.951077,0.739715,0.000033,1.536572,12,0.753315,0.000139,0.020741
1039,17.484127,13.967887,0.709919,0.000043,1.496184,11,0.723280,0.000161,0.024211
1042,16.739582,14.003210,0.677307,0.000036,1.461251,10,0.694276,0.000108,0.021550
1044,16.254848,13.920807,0.642334,0.000059,1.431513,10,0.665175,0.000174,0.029794
1045,15.790316,14.014581,0.614419,0.000084,1.247200,9,0.624979,0.000276,0.042478
1048,14.807473,14.047207,0.686598,0.000081,1.518408,8,0.706227,0.000172,0.026291
1052,13.840760,14.098525,0.782361,0.000188,1.663240,7,0.800579,0.000328,0.028262
1055,13.176888,14.169095,0.655664,0.000221,1.425470,6,0.668814,0.000335,0.040914
1057,10.977357,14.430633,0.783370,0.003596,1.429997,3,0.796292,0.001210,0.054758
1059,11.476537,14.292924,0.844640,0.002218,1.672709,4,0.852488,0.001207,0.047725
1060,10.194063,14.811455,0.798572,0.033456,1.596432,1,0.800058,0.004485,0.103900
1062,10.180668,14.816663,0.693613,0.026187,1.349230,1,0.727930,0.004758,0.129034
1063,10.375264,14.647305,0.784712,0.021781,1.553763,2,0.802210,0.004467,0.103149
1064,10.171525,14.820599,0.625070,0.024248,1.250575,1,0.637608,0.006256,0.191647
1067,10.013075,14.973601,0.561417,0.032143,1.125027,1,0.559882,0.016870,0.394172
1018,22.102537,13.899598,0.701410,0.000014,1.445970,16,0.710579,0.000086,0.018361
1027,19.886860,13.845618,0.689528,0.000016,1.454491,14,0.701143,0.000070,0.017051
1035,19.330923,13.931651,0.742235,0.000027,1.536572,13,0.754219,0.000128,0.019897
1039,18.388817,13.946159,0.712641,0.000034,1.496184,12,0.724418,0.000147,0.023086
1042,17.595877,13.969328,0.681366,0.000028,1.461251,11,0.694178,0.000095,0.020255
1045,16.669973,13.983515,0.616792,0.000065,1.247200,10,0.627218,0.000252,0.040318
1048,15.652289,14.004264,0.692584,0.000058,1.518408,9,0.706167,0.000148,0.024372
1052,14.702754,14.056365,0.788689,0.000125,1.663240,8,0.800809,0.000275,0.025850
1055,14.030910,14.121513,0.660622,0.000139,1.425470,7,0.667880,0.000278,0.037361
1057,11.615379,14.297009,0.791686,0.001293,1.429997,4,0.793326,0.000881,0.047093
1059,12.207044,14.194249,0.849218,0.000926,1.672709,5,0.840628,0.000891,0.042192
1060,10.518318,14.607920,0.799480,0.013031,1.596432,2,0.772452,0.002595,0.085004
1062,10.475321,14.614608,0.713171,0.011447,1.349230,2,0.710900,0.002689,0.102061
1063,10.757716,14.452011,0.795302,0.008641,1.553763,3,0.792353,0.002609,0.081028
1064,10.448174,14.620234,0.631665,0.011517,1.250575,2,0.637749,0.003728,0.148771
1065,10.000000,15.000000,0.717932,0.057270,1.435865,0,0.851254,0.003178,0.077462
1066,10.000000,15.000000,0.974195,0.105451,1.948390,0,0.830682,0.006360,0.114527
1067,10.176468,14.798833,0.560838,0.020012,1.125027,2,0.576636,0.006868,0.244298
1069,10.000000,15.000000,1.149490,0.146814,2.298980,0,1.067947,0.006237,0.068869
1018,23.042461,13.889554,0.702676,0.000012,1.445970,17,0.712941,0.000082,0.017811
1027,20.803617,13.829845,0.691647,0.000013,1.454491,15,0.703562,0.000065,0.016286
1035,20.252197,13.915912,0.744262,0.000022,1.536572,14,0.757188,0.000120,0.019130
1039,19.305824,13.928393,0.714809,0.000028,1.496184,13,0.727318,0.000137,0.022090
1042,18.500923,13.947859,0.684212,0.000022,1.461251,12,0.696759,0.000086,0.019133
1045,17.558434,13.956619,0.618865,0.000052,1.247200,11,0.629870,0.000234,0.038499
1048,16.550322,13.977378,0.696308,0.000043,1.518408,10,0.709158,0.000131,0.022769
1052,15.599092,14.026691,0.792340,0.000088,1.663240,9,0.805169,0.000240,0.023876
1055,14.918159,14.087102,0.662948,0.000094,1.425470,8,0.669958,0.000241,0.034569
1057,12.364705,14.205533,0.792572,0.000594,1.429997,5,0.798323,0.000699,0.041447
1059,13.007391,14.124444,0.845148,0.000489,1.672709,6,0.843603,0.000713,0.037485
1060,10.996184,14.427258,0.781858,0.004621,1.596432,3,0.768406,0.001803,0.071699
1062,10.920185,14.428041,0.711766,0.004362,1.349230,3,0.704382,0.001857,0.086532
1063,11.294688,14.289720,0.793461,0.003246,1.553763,4,0.798165,0.001821,0.066797
1064,10.852988,14.428695,0.635078,0.005060,1.250575,3,0.642083,0.002608,0.123106
