id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise
1,12.958354,14.129486,0.294336,0.000051,0.567388,6,0.288168,0.000066,0.098037,0.387997
2,11.791228,14.104641,0.246644,0.000195,0.445699,5,0.248075,0.000163,0.206866,1.063730
3,12.383287,14.040305,0.270306,0.000115,0.510261,6,0.269604,0.000122,0.151954,0.865257
4,12.926929,14.107758,0.277600,0.000047,0.528888,6,0.273672,0.000056,0.099920,0.117373
5,11.790030,14.113256,0.282170,0.000245,0.483711,5,0.281548,0.000238,0.193920,1.910161
6,12.248959,14.063740,0.244468,0.000094,0.450971,6,0.243921,0.000086,0.155608,0.407849
7,11.809900,14.106262,0.273061,0.000227,0.477541,5,0.273530,0.000207,0.191901,1.505804
8,12.872292,14.105185,0.297323,0.000070,0.588757,6,0.292850,0.000091,0.110933,0.709158
9,10.780432,14.305895,0.256385,0.000870,0.406094,4,0.265770,0.000549,0.329239,3.146555
10,12.286224,14.117845,0.303198,0.000148,0.548181,6,0.299554,0.000179,0.148974,1.536651
11,12.886369,14.134238,0.292168,0.000053,0.562102,6,0.285937,0.000068,0.100530,0.440368
12,12.679172,14.130337,0.299689,0.000078,0.572727,6,0.293600,0.000099,0.115264,0.877792
13,12.750022,14.080257,0.291723,0.000080,0.559389,6,0.288378,0.000100,0.120033,0.750747
14,12.283898,14.284924,0.266412,0.000074,0.474270,6,0.259449,0.000082,0.134441,0.756177
15,12.709390,14.075581,0.275524,0.000069,0.532685,6,0.272663,0.000077,0.118201,0.393820
16,11.464114,14.096897,0.225185,0.000282,0.396426,5,0.229312,0.000204,0.270321,1.242833
17,12.463649,14.052607,0.238024,0.000054,0.419823,6,0.235048,0.000047,0.123952,0.293045
18,12.692749,14.074916,0.261120,0.000055,0.488013,6,0.258260,0.000057,0.113342,0.057332
19,10.891967,14.208546,0.210963,0.000599,0.352848,5,0.220930,0.000380,0.396535,2.230140
21,12.915922,14.111999,0.265260,0.000041,0.497696,6,0.261158,0.000047,0.100708,0.115062
22,12.697176,14.169001,0.265083,0.000043,0.483356,6,0.258759,0.000050,0.105292,0.058353
23,12.486642,14.074840,0.245565,0.000059,0.457715,6,0.243255,0.000055,0.124692,0.095799
24,11.408137,14.144790,0.292704,0.000426,0.470545,5,0.291914,0.000399,0.233410,2.870112
25,10.370921,14.559698,0.233043,0.001560,0.376623,3,0.250942,0.000864,0.460626,3.967947
26,12.910935,14.134919,0.276485,0.000041,0.511864,6,0.271137,0.000050,0.095943,0.023870
